,Unnamed: 0,Unnamed: 0.1,train_precent,accuracy
0,0,0,0.02,0.7114825581395349
1,1,1,0.04,0.8144863266814486
2,2,2,0.06,0.8198944988696307
3,3,3,0.08,0.8379844961240309
4,4,4,0.1,0.8605388272583201
5,5,5,0.12,0.8413736713000818
6,6,6,0.14,0.8489626556016597
7,7,7,0.16,0.8577549271636675
8,8,8,0.18,0.8557607739665787
9,9,9,0.2,0.8567567567567568
10,10,10,0.22,0.8534080298786181
11,11,11,0.24,0.8621022179363549
12,12,12,0.26,0.8689655172413793
13,13,13,0.28,0.8591691995947315
14,14,14,0.3,0.8654244306418221
15,15,15,0.32,0.8615221987315009
16,16,16,0.34,0.8701298701298701
17,17,17,0.36,0.8587443946188341
18,18,18,0.38,0.8719723183391004
19,19,19,0.4,0.8664259927797834
20,20,20,0.42,0.892059553349876
21,21,21,0.44,0.8721227621483376
22,22,22,0.46,0.8713527851458885
23,23,23,0.48,0.8775790921595599
24,24,24,0.5,0.8825214899713467
25,25,25,0.52,0.8800599700149925
26,26,26,0.54,0.871875
27,27,27,0.56,0.8870703764320785
28,28,28,0.58,0.8875432525951558
29,29,29,0.6,0.8994515539305301
30,30,30,0.62,0.8797709923664122
31,31,31,0.64,0.8752515090543259
32,32,32,0.66,0.8860759493670886
33,33,33,0.68,0.8758314855875832
34,34,34,0.7,0.8857142857142857
35,35,35,0.72,0.8914728682170543
36,36,36,0.74,0.8767123287671232
37,37,37,0.76,0.8802395209580839
38,38,38,0.78,0.8933333333333333
39,39,39,0.8,0.9029850746268656
40,40,40,0.82,0.9
41,41,41,0.84,0.9061032863849764
42,42,42,0.86,0.893048128342246
43,43,43,0.88,0.9127516778523492
44,44,44,0.9,0.8823529411764706
45,45,45,0.92,0.9278350515463918
46,46,46,0.94,0.9189189189189192
47,47,47,0.96,0.94
48,48,48,0.98,0.9310344827586208
